Area,Type,Key,English,Russian,German,Spanish,Portuguese,Japanese,Korean
,,,,,,,,,
Misc,,#SETTINGS_LANGUAGE_TITLE,English,Русский,Deutsch,Español,Português,日本語,한국어
,,,,,,,,,
Main UI,Button,#MAIN_MENU_BACK,Back,Назад,Zurück,Atrás,Voltar,戻る,뒤로
Main UI,Button,#MAIN_MENU_TASKS,Tasks,Заказы,Jobs,Tareas,Tarefas,タスク,임무
Main UI,Button,#MAIN_MENU_BUILD,Build,Стройка,Bauen,Construir,Construir,建造,건설
Main UI,Button,#MAIN_MENU_TRADE,Trade,Торговля,Handel,Cambiar,Negociar,交易,무역
Main UI,Button,#MAIN_MENU_SMELT,Smelt,Плавка,Schmelzen,Fundir,Fundir,精錬,제련
Main UI,Button,#MAIN_MENU_CRAFT,Craft,Крафт,Fertigen,Crear,Criar,製造,제작
Main UI,Button,#MAIN_MENU_RECRUIT,Recruit,Нанять,Anheuern,Reclutar,Recrutar,雇用,모집
Main UI,Button,#MAIN_MENU_SKIP,Skip,Пропустить,Überspr.,Saltar,Pular,スキップ,건너뛰기
Main UI,Button,#MAIN_MENU_TRIBE,Tribe,Племя,Stamm,Tribu,Tribo,部族,부족
Main UI,Button,#MAIN_MENU_SHIPMENTS,Shipments,Поставки,Lieferung,Envío,Envio,出荷,배송
Main UI,Button,#MAIN_MENU_CHIEFS,Chiefs,Герои,Anführer,Líderes,Chefes,チーフ,부족장
Main UI,Button,#MAIN_MENU_RUNES,Runes,Руны,Runen,Runas,Runas,ルーン,룬
Main UI,Button,#MAIN_MENU_BADGES,Badges,Значки,Abzeichen,Insignias,Insígnias,バッジ,배지
Main UI,Button,#MAIN_MENU_SUMMARY,Summary,Сводка,Übersicht,Resumen,Resumo,サマリー,요약
Main UI,Button,#MAIN_MENU_SHOP,Shop,Магазин,Shop,Tienda,Loja,ショップ,상점
Main UI,Button,#MAIN_MENU_SKILL_TREE,Skill Tree,Навыки,Fähigk.,Hab.,Hab.,スキルツリー,스킬 트리
Main UI,Button,#MAIN_MENU_ACCOUNT_HALL,Books,Книги,Bücher,Libros,Livros,帳簿,장부
,,,,,,,,,
Main UI,Button,#HOME_CHAT,Chat,Чат,Chat,Chat,Chat,チャット,채팅
Main UI,Button,#HOME_SHOP,Shop,Магазин,Shop,Tienda,Loja,ショップ,상점
Main UI,Button,#HOME_BOOSTS,Boosts,Бусты,Boosts,Boosts,Boosts,ブースト,부스트
Main UI,Button,#HOME_RUNES,Runes,Руны,Runen,Runas,Runas,ルーン,룬
Main UI,Button,#HOME_CHIEFS,Chiefs,Герои,Anführer,Líderes,Chefes,チーフ,부족장
Main UI,Button,#HOME_MINE_BOOST,Mine\nBoost,Буст\nШахт,Minen-\nBoost,Refuerzo de mina,Reforço Mina,採掘\nブースト,채굴\n부스트
Main UI,Button,#HOME_MINE_BOOST_ACTIVE,20% Boost,20% Буст,20% Boost,Refuerzo del 20 %,Reforço 20%,20%ブースト,20% 부스트
Main UI,Button,#HOME_MINE_BOOST_FOREVER,Forever,Всегда,Für immer,Para siempre,Para sempre,永久,영원히
